trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-73.73333881126976,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.5}",30,7,-143.30187745562216,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 3}",1
3,False,"{'a': 0.9, 'e': 0.3333333333333333}",20,13,2.736043046474732,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.25}",30,0,-15.004330794905732,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.2}",20,16,8.933554886620849,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.9, 'e': 0.16666666666666666}",25,5,-33.004793924718,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.9, 'e': 0.14285714285714285}",20,0,-50.15794067115805,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.125}",20,1,-26.96610733438323,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.9, 'e': 0.1111111111111111}",20,0,-5.532648986031435,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.1}",25,0,-50.09972719160444,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.09090909090909091}",20,0,25.45828618580844,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.08333333333333333}",25,11,-15.02736128813407,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.07692307692307693}",20,9,18.74333460011388,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.07142857142857142}",25,20,7.966181143595599,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.06666666666666667}",20,5,23.868961141276362,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.0625}",25,1,33.99452266326312,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.058823529411764705}",20,0,26.259430351366404,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.05555555555555555}",25,4,8.793642599659613,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.05263157894736842}",25,0,24.846698736525692,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.05}",20,0,-17.483806939791734,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.047619047619047616}",20,0,31.26027385142905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.045454545454545456}",25,2,39.48331944811036,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.043478260869565216}",20,0,27.11917503007006,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.041666666666666664}",20,1,25.884491405840116,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.04}",20,0,-47.31094314216332,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
26,False,"{'a': 0.9, 'e': 0.038461538461538464}",25,6,38.117917725750274,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.037037037037037035}",20,11,18.023989288593707,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.03571428571428571}",20,2,29.66245336309754,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.034482758620689655}",30,7,34.05383628491792,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.03333333333333333}",25,7,29.288941072197527,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
