trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.03216000187516,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.83270356296487,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.52679282187964,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.48040156026727,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.39025727239651,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.11976362314645,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-278.3702897977525,"{0: 23, 1: 3, 2: 1, 3: 2, 4: 6}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.01929851921871,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.10459342553074,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,1,-39.63048260294386,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.41642981009176,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.49158210910173,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.384955440412934,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,7,-24.952726234857433,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-227.08661828891377,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.46850764407543,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.5908833249036,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.15968681531615,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.92296268640944,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.31910538175298,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.43263461988568,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.28104185618004,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.2959041142376,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.53734503544038,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.78704470976498,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.84550354948291,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-39.453100446552135,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-84.87097762244854,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.54777688640812,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.81759495089946,"{0: 10, 1: 5, 2: 9, 3: 1, 4: 0}",0
